email,발송상태,미발송리스트포함
b2b@teamsparta.co,발송안됨,Y
b2b@codeit.com,발송안됨,Y
b2b@fastcampus.co.kr,발송안됨,Y
b2b@elice.io,발송완료,N
contact@goorm.io,발송완료,N
help@nomadcoders.co,발송완료,N
help@zero-base.co.kr,발송완료,N
b2b@jumpit.co.kr,발송안됨,Y
help@jumpit.co.kr,발송완료,N
pr@grepp.co,발송완료,N
contact@grepp.co,발송완료,N
partnership@wantedlab.com,발송안됨,Y
biz@wishket.com,발송완료,N
partnership@kmong.com,발송안됨,Y
b2b@teamblind.com,발송안됨,Y
partnership@rememberapp.co.kr,발송안됨,Y
contact@mashupventures.co,발송완료,N
info@fast-track.asia,발송완료,N
info@futureplay.co,발송완료,N
hello@kakao.vc,발송완료,N
info@bonangels.net,발송완료,N
contact@base.vc,발송완료,N
bluetalent@bluepoint.ac,발송완료,N
info@bluepoint.vc,발송완료,N
info@sopoong.net,발송완료,N
info@sparklabs.co.kr,발송완료,N
d2startup@navercorp.com,발송완료,N
zer01ne@hyundai.com,발송완료,N
partnership@channel.io,발송안됨,Y
marketing@portone.io,발송완료,N
partnership@imweb.me,발송완료,N
support@tosspayments.com,발송완료,N
marketing-kr@makenotion.com,발송완료,N
marketing@tosslab.com,발송안됨,Y
partnership@flex.capital,발송완료,N
contact@swit.io,발송안됨,Y
dooray@nhn.com,발송완료,N
contact@ab180.co,발송완료,N
event@megazone.com,발송완료,N
marketing@bespinglobal.com,발송완료,N
partnership@wrtn.io,발송안됨,Y
partners@upstage.ai,발송완료,N
contact@lionrocket.ai,발송완료,N
contact@voyagerx.com,발송완료,N
biz@scatterlab.co.kr,발송안됨,Y
partnership@deepbrainai.io,발송안됨,Y
partnership@toss.im,발송완료,N
pr@toss.im,발송안됨,Y
team_csr@woowahan.com,발송완료,N
partner@daangn.com,발송안됨,Y
contact@bucketplace.net,발송완료,N
partnership@kakaopay.co.kr,발송완료,N
contact@banksalad.com,발송안됨,Y
partner@finda.co.kr,발송안됨,Y
partnership@kreamcorp.com,발송안됨,Y
partnership@socar.kr,발송안됨,Y
partnership@yanolja.com,발송완료,N
orangeplanet@smilegate.com,발송완료,N
contact@nexonfoundation.org,발송완료,N
pr@bithumbcorp.com,발송안됨,Y
pr@wemade.com,발송완료,N
biz@jasoseol.com,발송안됨,Y
biz@catch.co.kr,발송완료,N
contact@surfit.io,발송안됨,Y
contact@careerly.co.kr,발송안됨,Y
partnership@ninehire.com,발송완료,N
contact@doodlin.co.kr,발송완료,N
contact@superookie.com,발송완료,N
partnership@zep.us,발송완료,N
partnership@neosapience.com,발송안됨,Y
contact@oopy.io,발송안됨,Y
hello@relate.kr,발송안됨,Y
contact@lemonbase.com,발송안됨,Y
contact@superb-ai.com,발송완료,N
contact@selectstar.ai,발송완료,N
partnership@crowdworks.kr,발송안됨,Y
contact@travel-wallet.com,발송완료,N
biz@wirebarley.com,발송완료,N
recruit@8percent.kr,발송완료,N
pr@peoplefund.co.kr,발송안됨,Y
pr@coinone.co.kr,발송안됨,Y
pr@korbit.co.kr,발송완료,N
contact@gopax.co.kr,발송완료,N
partnership@healingpaper.com,발송안됨,Y
partner@doctornow.co.kr,발송완료,N
partnership@goodoc.co.kr,발송안됨,Y
contact@lunit.io,발송완료,N
pr@vuno.co,발송완료,N
partner@ably.kr,발송안됨,Y
partnership@kakaostyle.com,발송완료,N
partnership@kurlycorp.com,발송안됨,Y
partnership@catchtable.co.kr,발송안됨,Y
partnership@bunjang.co.kr,발송완료,N
partnership@balaan.co.kr,발송안됨,Y
contact@oasis.co.kr,발송안됨,Y
partnership@kakaomobility.com,발송완료,N
partnership@zigbang.com,발송완료,N
partnership@tadatada.com,발송안됨,Y
partnership@lawcompany.co.kr,발송안됨,Y
partnership@ridi.com,발송안됨,Y
partnership@watcha.com,발송완료,N
dreamplus@hanwha.com,발송완료,N
futureslab@shinhan.com,발송완료,N
kbinnovation@kbfg.com,발송완료,N
1qagilelab@hanafn.com,발송완료,N
ibkchanggong@ibk.co.kr,발송완료,N
trueinnovation@sk.com,발송완료,N
startupmonster@lgcns.com,발송완료,N
lcamp@lotte.net,발송완료,N
contact@dcamp.kr,발송완료,N
